s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 4.2005009E+001, 1.4986877E+002,-5.3238331E+001,-1.3815545E+000,-1.9020676E+001,-1.0116711E-002, 0.0000000E+000, 0.0000000E+000, 7.6200097E+001, 7.6218094E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
 4.3200981E+001, 1.4995533E+002,-5.3427056E+001,-1.8490989E+000,-1.8964582E+001,-1.0086339E-002, 0.0000000E+000, 0.0000000E+000, 7.5618665E+001, 7.5704504E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
 4.4407932E+001, 1.5017142E+002,-5.3160853E+001,-2.6627104E+000,-1.9117830E+001,-1.0116697E-002, 0.0000000E+000, 0.0000000E+000, 7.5313629E+001, 7.5219910E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
 4.5602924E+001, 1.4959772E+002,-5.3367191E+001,-2.7872342E+000,-1.8899919E+001,-1.0123888E-002, 0.0000000E+000, 0.0000000E+000, 7.4545392E+001, 7.4533252E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
 4.6805702E+001, 1.5011885E+002,-5.3639301E+001,-3.3213634E+000,-1.9210724E+001,-1.0087040E-002, 0.0000000E+000, 0.0000000E+000, 7.3831574E+001, 7.3937378E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
 4.8004215E+001, 1.4980562E+002,-5.3807650E+001,-4.0658788E+000,-1.9841056E+001,-1.0078295E-002, 0.0000000E+000, 0.0000000E+000, 7.2078586E+001, 7.2080962E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
 4.9216427E+001, 1.4999469E+002,-5.3999429E+001,-3.4524800E+000,-2.0103232E+001,-1.0091955E-002, 0.0000000E+000, 0.0000000E+000, 7.2440670E+001, 7.2429459E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
 5.0407719E+001, 1.5040406E+002,-5.4605511E+001,-1.7789195E+000,-2.0523050E+001,-1.0083312E-002, 0.0000000E+000, 0.0000000E+000, 7.3301583E+001, 7.3486492E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
 5.1607624E+001, 1.4989703E+002,-5.5110651E+001,-7.9244981E-001,-2.1353498E+001,-1.0079999E-002, 0.0000000E+000, 0.0000000E+000, 7.2564934E+001, 7.2630356E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
 5.2808945E+001, 1.5030639E+002,-5.5143558E+001,-5.2818900E-001,-2.1671332E+001,-1.0066530E-002, 0.0000000E+000, 0.0000000E+000, 7.3003990E+001, 7.2953247E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
